ano,uf,setor,porte_do_cliente,num_empregados
2007,TO,INDUSTRIA,MICRO,4258
2007,MA,INDUSTRIA,MICRO,7399
2007,PI,INDUSTRIA,MICRO,8473
2007,CE,INDUSTRIA,MICRO,35121
2007,RN,INDUSTRIA,MICRO,12755
2007,PB,INDUSTRIA,MICRO,12425
2007,PE,INDUSTRIA,MICRO,34599
2007,AL,INDUSTRIA,MICRO,5802
2007,SE,INDUSTRIA,MICRO,6967
2007,BA,INDUSTRIA,MICRO,38380
2007,MG,INDUSTRIA,MICRO,164905
2007,ES,INDUSTRIA,MICRO,31979
2007,RJ,INDUSTRIA,MICRO,76839
2007,SP,INDUSTRIA,MICRO,399308
2007,PR,INDUSTRIA,MICRO,113841
2007,SC,INDUSTRIA,MICRO,120049
2007,RS,INDUSTRIA,MICRO,130129
2007,MS,INDUSTRIA,MICRO,10908
2007,MT,INDUSTRIA,MICRO,21404
2007,GO,INDUSTRIA,MICRO,41490
2007,DF,INDUSTRIA,MICRO,10636
2006,RO,INDUSTRIA,MICRO,8745
2006,AC,INDUSTRIA,MICRO,1814
2006,AM,INDUSTRIA,MICRO,7155
2006,RR,INDUSTRIA,MICRO,737
2006,PA,INDUSTRIA,MICRO,16098
2006,AP,INDUSTRIA,MICRO,1416
2006,TO,INDUSTRIA,MICRO,3800
2006,MA,INDUSTRIA,MICRO,7450
2006,PI,INDUSTRIA,MICRO,8294
2006,CE,INDUSTRIA,MICRO,33750
2006,RN,INDUSTRIA,MICRO,12283
2006,PB,INDUSTRIA,MICRO,11894
2006,PE,INDUSTRIA,MICRO,33086
2006,AL,INDUSTRIA,MICRO,5714
2006,SE,INDUSTRIA,MICRO,6559
2006,BA,INDUSTRIA,MICRO,36739
2006,MG,INDUSTRIA,MICRO,159955
2006,ES,INDUSTRIA,MICRO,30784
2006,RJ,INDUSTRIA,MICRO,76575
2006,SP,INDUSTRIA,MICRO,395969
2006,PR,INDUSTRIA,MICRO,109723
2006,SC,INDUSTRIA,MICRO,115574
2006,RS,INDUSTRIA,MICRO,129229
2006,MS,INDUSTRIA,MICRO,10584
2006,MT,INDUSTRIA,MICRO,19955
2006,GO,INDUSTRIA,MICRO,40662
2006,DF,INDUSTRIA,MICRO,9868
2005,RO,INDUSTRIA,MICRO,8468
2005,AC,INDUSTRIA,MICRO,1587
2005,AM,INDUSTRIA,MICRO,6487
2005,RR,INDUSTRIA,MICRO,692
2005,PA,INDUSTRIA,MICRO,16087
2005,AP,INDUSTRIA,MICRO,1236
2005,TO,INDUSTRIA,MICRO,3918
2005,MA,INDUSTRIA,MICRO,7299
2005,PI,INDUSTRIA,MICRO,7704
2005,CE,INDUSTRIA,MICRO,30752
2005,RN,INDUSTRIA,MICRO,11154
2005,PB,INDUSTRIA,MICRO,11113
2005,PE,INDUSTRIA,MICRO,30380
2005,AL,INDUSTRIA,MICRO,5025
2005,SE,INDUSTRIA,MICRO,6098
2005,BA,INDUSTRIA,MICRO,33127
2005,MG,INDUSTRIA,MICRO,150021
2005,ES,INDUSTRIA,MICRO,27968
2005,RJ,INDUSTRIA,MICRO,68476
2005,SP,INDUSTRIA,MICRO,376226
2005,PR,INDUSTRIA,MICRO,103811
2005,SC,INDUSTRIA,MICRO,109243
2005,RS,INDUSTRIA,MICRO,124626
2005,MS,INDUSTRIA,MICRO,10148
2005,MT,INDUSTRIA,MICRO,19692
2005,GO,INDUSTRIA,MICRO,37219
2005,DF,INDUSTRIA,MICRO,7591
2004,RO,INDUSTRIA,MICRO,8174
2004,AC,INDUSTRIA,MICRO,1562
2004,AM,INDUSTRIA,MICRO,6272
2004,RR,INDUSTRIA,MICRO,824
2004,PA,INDUSTRIA,MICRO,15653
2004,AP,INDUSTRIA,MICRO,1108
2004,TO,INDUSTRIA,MICRO,3562
2004,MA,INDUSTRIA,MICRO,6633
2004,PI,INDUSTRIA,MICRO,7349
2004,CE,INDUSTRIA,MICRO,29436
2004,RN,INDUSTRIA,MICRO,10635
2004,PB,INDUSTRIA,MICRO,10602
2004,PE,INDUSTRIA,MICRO,28434
2004,AL,INDUSTRIA,MICRO,4870
2004,SE,INDUSTRIA,MICRO,5889
2004,BA,INDUSTRIA,MICRO,31563
