uf,ano,setor,pib
ES,2008,INDUSTRIA,25887972073.0
GO,2008,INDUSTRIA,23446549099.0
MA,2008,INDUSTRIA,7089511846.0
MG,2008,INDUSTRIA,88868976177.0
MS,2008,INDUSTRIA,6173033082.0
MT,2008,INDUSTRIA,7552200504.0
PA,2008,INDUSTRIA,19807313188.0
PB,2008,INDUSTRIA,4848276116.0
PE,2008,INDUSTRIA,13411199892.0
PI,2008,INDUSTRIA,1867142788.0
PR,2008,INDUSTRIA,51872208179.0
RJ,2008,INDUSTRIA,126000382159.0
RN,2008,INDUSTRIA,8479055166.0
RO,2008,INDUSTRIA,2866780685.0
RR,2008,INDUSTRIA,513490087.0
