setor,uf,ano,emissao_co2
AGROPECUARIA,DF,2017,597290.8
AGROPECUARIA,DF,2018,551961.2
AGROPECUARIA,ES,2000,9491896.7
AGROPECUARIA,ES,2001,6989249.4
AGROPECUARIA,ES,2002,7115876.8
AGROPECUARIA,ES,2003,8695020.2
AGROPECUARIA,ES,2004,6996357.5
AGROPECUARIA,ES,2005,6446849.3
AGROPECUARIA,ES,2006,6991230.5
AGROPECUARIA,ES,2007,7458045.5
AGROPECUARIA,ES,2008,8262433.1
AGROPECUARIA,ES,2009,7175576.3
AGROPECUARIA,ES,2010,7587269.5
AGROPECUARIA,ES,2011,7781807.5
AGROPECUARIA,ES,2012,8668363.8
AGROPECUARIA,ES,2013,9036138.2
AGROPECUARIA,ES,2014,8594940.3
AGROPECUARIA,ES,2015,8705798.4
AGROPECUARIA,ES,2016,9643864.5
AGROPECUARIA,ES,2017,9233897.2
AGROPECUARIA,ES,2018,6976207.1
AGROPECUARIA,GO,2000,79775781.8
AGROPECUARIA,GO,2001,74714088.3
AGROPECUARIA,GO,2002,76684028.1
AGROPECUARIA,GO,2003,83391711.1
AGROPECUARIA,GO,2004,78688163.8
AGROPECUARIA,GO,2005,72346423.5
AGROPECUARIA,GO,2006,65775300.4
AGROPECUARIA,GO,2007,63339654.5
AGROPECUARIA,GO,2008,64675018.4
AGROPECUARIA,GO,2009,64311200.2
