AMPLA ENERGIA E SERVICOS S.A.,"177.625 processos no TJRJ, TRT1, TRT01, STJ e TJSP, 5.806 processos no TJRJ, TRT1, TRT01, TJES e STJ, 4.938 processos no TJRJ, TRT1, TJSP, TRT01 e JFDF, 739 processos no TJRJ, TJSP, TJCE, TJGO e TJMG, 628 processos no TJRJ, TRT1 e STJ, 211 processos no TJRJ, TRT1 e STJ"
ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.,"5.256 processos no TJMG, TRT3, TRT03, TJRJ e STJ, 261 processos no TJMG, 50 processos no TRF1, TJMG, JFDF, TJRJ e JFMG, 36 processos no TJMG, 34 processos no TJMG, 30 processos no TJMG"
TRANSDOURADA NAVEGACAO LTDA.,"283 processos no TRT08, TRT8, TJPA, TJAM e TRT11, 1 processo no TRT08"
COMPANHIA LUZ E FORCA DE MOCOCA,"345 processos no TJSP, TRT15, TJMG, TRF1 e TRF3, 31 processos no TJSP, TJMG e STJ, 18 processos no TJMG, TRF3, TJSP e STJ, 10 processos no TJSP, JFSP e TJMG, 10 processos no TJSP e TJSPCR, 9 processos no TJSP"
LOUIS DREYFUS COMMODITIES BIOENERGIA S.A.,"336 processos no TRT15, TRF3, TST, TJSP e TJMS, 7 processos no TJSP e STF, 5 processos no TJSP, 2 processos no TJSP, 1 processo no STJ, 1 processo no TJSP"
IGUATEMI ENERGIA S/A,"58 processos no TRT1, TRT01, TRT5, TST e TJBA"
EXPANSION TRANSMISSAO DE ENERGIA ELETRICA S/A,"31 processos no TRF2, TRF1, TRF2-RJ, STJ e TJGO, 4 processos no TRF1 e TJGO"
CLUBE DE INVESTIMENTO DOS EMPREGADOS DA LIGHT,1 processo no JFSP
BARCAS S/A TRANSPORTES MARITIMOS,"1.399 processos no TJRJ, TRT1, TRT01, STJ e TRF2, 33 processos no TJRJ, TRT1, TRT01 e TRF1, 16 processos no TJRJ, 14 processos no TJRJ, TRT01 e TRT1, 12 processos no TJRJ, 12 processos no TJSP e TJRJ"
MINERACOES BRASILEIRAS REUNIDAS S/A MBR,"381 processos no TRF1, TJMG, TRT1, TJRJ e TRT3, 130 processos no TJMG, TRT1, STJ, TJRJ e STF, 94 processos no TJMG, TRF1, JFMG, JFDF e STJ, 10 processos no TJMG, 3 processos no TJMG, 3 processos no TJMG"
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,"5.746 processos no TJPB, TRT13, STJ, TJPE e TST, 1.222 processos no TJPB e STJ, 674 processos no TJPB, STJ e TJSP, 101 processos no TJPB, 53 processos no TJPB, TRF1, JFDF, TJRR e TRF01, 31 processos no TRT13"
ESTALEIRO ITAJAI S/A,"128 processos no TRT12, TJSC, TJSP, TJSC   e TRF4-SC  , 18 processos no TJSC e TJRS, 10 processos no TJSC, TJSP e TJSC  , 2 processos no TJSC, 1 processo no TJBA, 1 processo no TJSC"
COTECE S.A.,"914 processos no TRT7, TJCE, TJSP, TST e TJSC, 290 processos no TRT7, TST, TRF1, TJSP e TRT2, 6 processos no TJSC e STJ, 2 processos no TJCE, 2 processos no TRF3, 1 processo no TJCE"
HERMASA NAVEGACAO DA AMAZONIA S/A,"304 processos no TRT14, TRT11, TJRO, TRF1 e TRT8, 111 processos no TRT14, TRT11, TJRO, TJAM e TST, 24 processos no TRT11, 18 processos no TRT11, 4 processos no TRT14, 4 processos no TRT11"
COMPANHIA AUXILIAR DE ARMAZENS GERAIS,"432 processos no TRT2, TJSP, TRT02, TST e TRF3, 15 processos no TRT2 e TST, 5 processos no TRT2 e TRT02, 4 processos no TRT2, TRT02 e TRF3, 3 processos no TRT02 e TRT2, 3 processos no TRT2"
BROOKFIELD ENERGIA RENOVAVEL MINAS GERAIS S/A,"11 processos no TJMG, TRF1, TRT03 e TRT9, 7 processos no TRF1"
SY WIRING TECHNOLOGIES BRASIL LTDA,"1 processo no TJPR, 1 processo no TJPR"
