cnpj,uf,produto,fonte_de_recurso_desembolsos,setor_bndes,natureza_do_cliente,tipo_de_garantia,valor_desembolsado_ajustado,processos,prazo_amortizacao_meses,cluster
19.944.650/0001-13,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,40922163.0,7.0,192.0,1
19.953.139/0001-88,CE,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,145125354.0,10.0,189.6,1
19.980.957/0001-70,RN,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,41146072.0,1.0,188.0,1
19.984.571/0001-36,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,23219638.0,1.0,108.0,1
20.081.333/0001-08,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,65934149.0,5.0,189.6,1
20.081.762/0001-77,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,29243444.0,2.0,192.0,1
20.088.432/0001-03,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,65705790.0,3.0,192.0,1
20.168.051/0001-34,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,36809694.0,1.0,229.0,1
20.168.074/0001-49,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,32071812.0,1.0,229.0,1
20.168.112/0001-63,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,53355833.0,1.0,229.0,1
20.168.124/0001-98,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,42762416.0,1.0,229.0,1
20.168.152/0001-05,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,52238179.0,1.0,229.0,1
20.168.158/0001-82,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47652153.0,1.0,229.0,1
20.168.187/0001-44,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,53392278.0,2.0,229.0,1
20.168.194/0001-46,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,16102722.0,1.0,229.0,1
20.168.215/0001-23,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,42823158.0,1.0,229.0,1
20.168.229/0001-47,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,42883900.0,1.0,229.0,1
20.168.242/0001-04,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,52967084.0,2.0,229.0,1
20.168.283/0001-92,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,42519448.0,1.0,229.0,1
20.168.405/0001-40,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,52116695.0,1.0,229.0,1
20.168.462/0001-20,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,43187611.0,1.0,229.0,1
20.168.743/0001-82,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47682524.0,1.0,229.0,1
20.168.788/0001-57,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,32497007.0,1.0,229.0,1
20.168.824/0001-82,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,37295630.0,1.0,229.0,1
20.223.016/0001-70,IE,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,1414420135.0,853.0,129.11111111111111,0
20.318.427/0001-40,RN,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47361504.0,4.0,192.0,1
20.318.451/0001-89,RN,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,55492152.0,1.0,189.66666666666666,1
20.318.810/0001-06,RN,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47361504.0,4.0,192.0,1
20.339.203/0001-14,RN,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,45331725.0,4.0,192.0,1
20.512.161/0001-71,PI,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,421355430.0,8.0,192.0,1
20.512.213/0001-00,PI,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,438496132.0,5.0,192.0,1
20.514.555/0001-69,IE,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,203641811.0,327.0,166.8,0
20.514.590/0001-88,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,215539911.0,91.0,168.0,1
20.586.118/0001-50,RS,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,67891533.0,7.0,192.0,1
20.593.647/0001-81,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,58688545.0,9.0,192.0,1
20.622.890/0001-80,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO MUNICIPAL,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",38820347.0,4790.0,102.0,0
20.732.109/0001-20,IE,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,290218703.0,146.0,166.0,0
20.770.566/0001-00,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,54534307.0,1.0,64.0,1
20.918.034/0001-77,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,16599848.0,342.0,240.0,1
20.927.059/0001-37,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,34794501.0,117.0,84.0,2
21.005.582/0001-79,MG,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL,17965626.0,349.0,81.0,2
